,id,metadata_type,indicator_code,indicator_name,definition_concept,benefit,additional_information,interpretation,full_content
349,361,indikator,527,Indeks Berantai Produksi Tanaman Kehutanan Hutan Alam,Angka yang menunjukkan perbandingan produksi tanaman kehutanan hutan alam pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman kehutanan hutan alam setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi tanaman kehutanan hutan alam mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman kehutanan hutan alam tidak mengalami perubahan. 
Iit < 100, berarti mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Berantai Produksi Tanaman Kehutanan Hutan Alam.

Konsep definisi : Angka yang menunjukkan perbandingan produksi tanaman kehutanan hutan alam pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman kehutanan hutan alam setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi tanaman kehutanan hutan alam mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman kehutanan hutan alam tidak mengalami perubahan. 
Iit < 100, berarti mengalami penurunan dari periode tahun sebelumnya. ."
350,362,indikator,528,Indeks Berantai Produksi Tanaman Kehutanan Hutan Tanaman Industri,Angka yang menunjukkan perbandingan produksi tanaman kehutanan hutan tanaman industri pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman kehutanan hutan tanaman industri setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi tanaman kehutanan hutan tanaman industri mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman kehutanan hutan tanaman industri tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman kehutanan hutan tanaman industri mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Berantai Produksi Tanaman Kehutanan Hutan Tanaman Industri.

Konsep definisi : Angka yang menunjukkan perbandingan produksi tanaman kehutanan hutan tanaman industri pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman kehutanan hutan tanaman industri setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi tanaman kehutanan hutan tanaman industri mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman kehutanan hutan tanaman industri tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman kehutanan hutan tanaman industri mengalami penurunan dari periode tahun sebelumnya. ."
351,363,indikator,530,Indeks Produksi Perikanan Budidaya,Angka yang menunjukkan perbandingan produksi perikanan budidaya pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi perikanan budidaya setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi perikanan budidaya mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi perikanan budidaya tidak mengalami perubahan. 
Iit < 100, berarti produksi perikanan budidaya mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Perikanan Budidaya.

Konsep definisi : Angka yang menunjukkan perbandingan produksi perikanan budidaya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi perikanan budidaya setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi perikanan budidaya mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi perikanan budidaya tidak mengalami perubahan. 
Iit < 100, berarti produksi perikanan budidaya mengalami penurunan dari periode tahun sebelumnya. ."
352,364,indikator,531,Indeks Produksi Perikanan Tangkap,Angka yang menunjukkan perbandingan produksi perikanan tangkap pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi perikanan tangkap setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi perikanan tangkap mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi perikanan tangkap tidak mengalami perubahan. 
Iit < 100, berarti produksi perikanan tangkap mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Perikanan Tangkap.

Konsep definisi : Angka yang menunjukkan perbandingan produksi perikanan tangkap pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi perikanan tangkap setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi perikanan tangkap mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi perikanan tangkap tidak mengalami perubahan. 
Iit < 100, berarti produksi perikanan tangkap mengalami penurunan dari periode tahun sebelumnya. ."
353,365,indikator,532,Indeks Produksi Peternakan dan Hasil-hasilnya,Angka yang menunjukkan perbandingan produksi peternakan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi peternakan dan hasil-hasilnya setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi peternakan dan hasil-hasilnya mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi peternakan dan hasil-hasilnya tidak mengalami perubahan. 
Iit < 100, berarti produksi peternakan dan hasil-hasilnya mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Peternakan dan Hasil-hasilnya.

Konsep definisi : Angka yang menunjukkan perbandingan produksi peternakan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi peternakan dan hasil-hasilnya setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi peternakan dan hasil-hasilnya mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi peternakan dan hasil-hasilnya tidak mengalami perubahan. 
Iit < 100, berarti produksi peternakan dan hasil-hasilnya mengalami penurunan dari periode tahun sebelumnya. ."
354,366,indikator,533,Rasio Biaya Antara,Rasio biaya antara adalah besarnya biaya yang dikeluarkan selama proses produksi dibagi dengan jumlah output yang dihasilkan,"Untuk mendapatkan nilai tambah bruto (NTB) suatu sektor ekonomi, output yang dihasilkan harus dikurangi dengan biaya yang diperlukan dalam proses produksi",-,"Semakin besar rasio biaya antara, berarti semakin besar biaya yang diperlukan dalam suatu proses produksi, sehingga nilai tambah yang tercipta kecil.
Sebaliknya, semakin kecil nilai rasio biaya antara, nilai tambah yang tercipta dalam suatu proses produksi semakin besar, artinya semakin efisien","Nama indikator : Rasio Biaya Antara.

Konsep definisi : Rasio biaya antara adalah besarnya biaya yang dikeluarkan selama proses produksi dibagi dengan jumlah output yang dihasilkan.

Manfaat : Untuk mendapatkan nilai tambah bruto (NTB) suatu sektor ekonomi, output yang dihasilkan harus dikurangi dengan biaya yang diperlukan dalam proses produksi.

Keterangan tambahan : -.

Interpretasi : Semakin besar rasio biaya antara, berarti semakin besar biaya yang diperlukan dalam suatu proses produksi, sehingga nilai tambah yang tercipta kecil.
Sebaliknya, semakin kecil nilai rasio biaya antara, nilai tambah yang tercipta dalam suatu proses produksi semakin besar, artinya semakin efisien."
355,369,indikator,536,Indeks Produksi Tanaman Pangan,Angka yang menunjukkan perbandingan produksi tanaman pangan pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman pangan setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi tanaman pangan mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman pangan tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman pangan mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Tanaman Pangan.

Konsep definisi : Angka yang menunjukkan perbandingan produksi tanaman pangan pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman pangan setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi tanaman pangan mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman pangan tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman pangan mengalami penurunan dari periode tahun sebelumnya. ."
356,370,indikator,537,Indeks Produksi Tanaman Perkebunan Besar,Angka yang menunjukkan perbandingan produksi tanaman perkebunan besar pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman perkebunan besar setiap tahun berjalan dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi tanaman perkebunan besar mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman perkebunan besar tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman perkebunan besar mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Tanaman Perkebunan Besar.

Konsep definisi : Angka yang menunjukkan perbandingan produksi tanaman perkebunan besar pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman perkebunan besar setiap tahun berjalan dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi tanaman perkebunan besar mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman perkebunan besar tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman perkebunan besar mengalami penurunan dari periode tahun sebelumnya. ."
357,373,indikator,542,Indeks Produksi Tanaman Sayuran,Angka yang menunjukkan perbandingan produksi tanaman sayuran pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman sayuran dibandingkan dengan tahun sebelumnya.,,"Iit > 100, berarti produksi tanaman sayuran mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman sayuran tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman sayuran mengalami penurunan dari periode tahun sebelumnya. ","Nama indikator : Indeks Produksi Tanaman Sayuran.

Konsep definisi : Angka yang menunjukkan perbandingan produksi tanaman sayuran pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi tanaman sayuran dibandingkan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : Iit > 100, berarti produksi tanaman sayuran mengalami peningkatan dari periode tahun sebelumnya. 
Iit = 100, berarti produksi tanaman sayuran tidak mengalami perubahan. 
Iit < 100, berarti produksi tanaman sayuran mengalami penurunan dari periode tahun sebelumnya. ."
358,374,indikator,543,Persentase Luas Tanaman Perkebunan Besar Negara,Perbandingan luas tanaman unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perkebunan besar negara.,Melihat besaran sumbangan luas tanaman unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perkebunan besar negara.,-,Nilai persentase besar menunjukkan pengaruh luas tanaman unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perkebunan besar negara.,"Nama indikator : Persentase Luas Tanaman Perkebunan Besar Negara.

Konsep definisi : Perbandingan luas tanaman unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perkebunan besar negara.

Manfaat : Melihat besaran sumbangan luas tanaman unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perkebunan besar negara.

Keterangan tambahan : -.

Interpretasi : Nilai persentase besar menunjukkan pengaruh luas tanaman unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perkebunan besar negara."
359,377,indikator,546,Persentase Produksi Perikanan Budidaya,Perbandingan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan budidaya.,Melihat besaran sumbangan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan budidaya.,-,Nilai persentase besar menunjukkan pengaruh produksi unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perikanan budidaya.,"Nama indikator : Persentase Produksi Perikanan Budidaya.

Konsep definisi : Perbandingan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan budidaya.

Manfaat : Melihat besaran sumbangan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan budidaya.

Keterangan tambahan : -.

Interpretasi : Nilai persentase besar menunjukkan pengaruh produksi unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perikanan budidaya."
360,378,indikator,547,Persentase Produksi Perikanan Tangkap,Perbandingan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan tangkap.,Melihat besaran sumbangan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan tangkap.,-,Nilai persentase besar menunjukkan pengaruh produksi unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perikanan tangkap.,"Nama indikator : Persentase Produksi Perikanan Tangkap.

Konsep definisi : Perbandingan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan tangkap.

Manfaat : Melihat besaran sumbangan produksi unit pengamatan/komoditi terhadap kelompok unit pengamatan/komoditi perikanan tangkap.

Keterangan tambahan : -.

Interpretasi : Nilai persentase besar menunjukkan pengaruh produksi unit pengamatan/komoditi yang besar terhadap terhadap kelompok unit pengamatan/komoditi perikanan tangkap."
361,379,indikator,548,Persentase Sumbangan Sektor/Sub Sektor Pertanian terhadap Produk Domestik Bruto atas Dasar Harga Berlaku,Perbandingan produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor terhadap kelompok sub sektor/sektor pertanian.,Melihat besaran sumbangan produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor terhadap kelompok sub sektor/sektor pertanian.,-,Nilai persentase besar menunjukkan pengaruh produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor yang besar terhadap terhadap kelompok sub sektor/sektor pertanian.,"Nama indikator : Persentase Sumbangan Sektor/Sub Sektor Pertanian terhadap Produk Domestik Bruto atas Dasar Harga Berlaku.

Konsep definisi : Perbandingan produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor terhadap kelompok sub sektor/sektor pertanian.

Manfaat : Melihat besaran sumbangan produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor terhadap kelompok sub sektor/sektor pertanian.

Keterangan tambahan : -.

Interpretasi : Nilai persentase besar menunjukkan pengaruh produk domestik bruto atas dasar harga berlaku unit pengamatan/sub sektor yang besar terhadap terhadap kelompok sub sektor/sektor pertanian."
362,380,indikator,549,Produktivitas Tanaman Padi,Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman padi pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman padi per satuan luas pada periode tahun laporan.,-,"Produktivitas tanaman padi di Indonesia Tahun 2013 adalah 51,46 (Ku/Ha) maka rata-rata komoditi tanaman padi yang diproduksi oleh tiap hektar tanaman padi adalah sebesar 51,46 kuintal.","Nama indikator : Produktivitas Tanaman Padi.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman padi pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman padi per satuan luas pada periode tahun laporan.

Keterangan tambahan : -.

Interpretasi : Produktivitas tanaman padi di Indonesia Tahun 2013 adalah 51,46 (Ku/Ha) maka rata-rata komoditi tanaman padi yang diproduksi oleh tiap hektar tanaman padi adalah sebesar 51,46 kuintal."
363,381,indikator,550,Produktivitas Tanaman Palawija,Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman palawija pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman palawija per satuan luas pada periode tahun laporan.,-,"Produktivitas tanaman palawija di Indonesia Tahun 2013 adalah 142,27 (Ku/Ha) maka rata-rata komoditi tanaman palawija yang diproduksi oleh tiap hektar tanaman palawija adalah sebesar 142,27 kuintal.","Nama indikator : Produktivitas Tanaman Palawija.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman palawija pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman palawija per satuan luas pada periode tahun laporan.

Keterangan tambahan : -.

Interpretasi : Produktivitas tanaman palawija di Indonesia Tahun 2013 adalah 142,27 (Ku/Ha) maka rata-rata komoditi tanaman palawija yang diproduksi oleh tiap hektar tanaman palawija adalah sebesar 142,27 kuintal."
364,382,indikator,551,Produktivitas Tanaman Pangan,Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman pangan (padi; jagung; kedelai; kacang tanah; kacang hijau; ubi kayu; ubi jalar) pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman pangan (padi; jagung; kedelai; kacang tanah; kacang hijau; ubi kayu; ubi jalar) per satuan luas pada periode tahun laporan.,-,"Produktivitas tanaman kedelai di Indonesia Tahun 2013 adalah 14,57 (Ku/Ha) maka rata-rata komoditi tanaman kedelai yang diproduksi oleh tiap hektar tanaman kedelai adalah sebesar 14,57 kuintal.","Nama indikator : Produktivitas Tanaman Pangan.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per satuan luas per komoditi tanaman pangan (padi; jagung; kedelai; kacang tanah; kacang hijau; ubi kayu; ubi jalar) pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman pangan (padi; jagung; kedelai; kacang tanah; kacang hijau; ubi kayu; ubi jalar) per satuan luas pada periode tahun laporan.

Keterangan tambahan : -.

Interpretasi : Produktivitas tanaman kedelai di Indonesia Tahun 2013 adalah 14,57 (Ku/Ha) maka rata-rata komoditi tanaman kedelai yang diproduksi oleh tiap hektar tanaman kedelai adalah sebesar 14,57 kuintal."
365,383,indikator,552,Produktivitas Tanaman Buah-buahan,Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman buah-buahan (jambu biji dan jambu air; jeruk keprok dan jeruk besar; mangga; pepaya; pisang; dan sawo) pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman buah-buahan per satuan luas pada periode tahun laporan.,-,"Produktivitas tanaman pisang di Indonesia Tahun 2013 adalah 60,00 (Ku/Ha) maka rata-rata komoditi tanaman pisang yang diproduksi oleh tiap hektar tanaman pisang adalah sebesar 60,00 kuintal.","Nama indikator : Produktivitas Tanaman Buah-buahan.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman buah-buahan (jambu biji dan jambu air; jeruk keprok dan jeruk besar; mangga; pepaya; pisang; dan sawo) pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman buah-buahan per satuan luas pada periode tahun laporan.

Keterangan tambahan : -.

Interpretasi : Produktivitas tanaman pisang di Indonesia Tahun 2013 adalah 60,00 (Ku/Ha) maka rata-rata komoditi tanaman pisang yang diproduksi oleh tiap hektar tanaman pisang adalah sebesar 60,00 kuintal."
366,384,indikator,553,Produktivitas Tanaman Perkebunan Besar Negara,Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman perkebunan besar negara (karet; kelapa; kelapa sawit; kopi; teh; tebu;cengkeh; dan tembakau) pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman perkebunan besar negara per satuan luas pada periode tahun laporan.,-,"Produktivitas tanaman kopi di Indonesia Tahun 2013 adalah 5,39 (Ku/Ha) maka rata-rata komoditi tanaman kopi yang diproduksi oleh tiap hektar tanaman kopi adalah sebesar 5,39 kuintal.","Nama indikator : Produktivitas Tanaman Perkebunan Besar Negara.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman perkebunan besar negara (karet; kelapa; kelapa sawit; kopi; teh; tebu;cengkeh; dan tembakau) pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman perkebunan besar negara per satuan luas pada periode tahun laporan.

Keterangan tambahan : -.

Interpretasi : Produktivitas tanaman kopi di Indonesia Tahun 2013 adalah 5,39 (Ku/Ha) maka rata-rata komoditi tanaman kopi yang diproduksi oleh tiap hektar tanaman kopi adalah sebesar 5,39 kuintal."
367,386,indikator,556,Produktivitas Tanaman Perkebunan Besar Rakyat,Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman perkebunan rakyat (karet; kelapa; kelapa sawit; kopi; teh; tebu;cengkeh; dan tembakau) pada periode satu tahun laporan.,Mengukur hasil produksi per komoditi tanaman perkebunan rakyat per satuan luas pada periode tahun laporan.,,"Produktivitas tanaman kopi di Indonesia Tahun 2013 adalah 7,36 (Ku/Ha) maka rata-rata komoditi tanaman kopi yang diproduksi oleh tiap hektar tanaman kopi adalah sebesar 7,36 kuintal.","Nama indikator : Produktivitas Tanaman Perkebunan Besar Rakyat.

Konsep definisi : Suatu nilai yang menunjukkan rata-rata hasil produksi per komoditi per satuan luas tanaman perkebunan rakyat (karet; kelapa; kelapa sawit; kopi; teh; tebu;cengkeh; dan tembakau) pada periode satu tahun laporan.

Manfaat : Mengukur hasil produksi per komoditi tanaman perkebunan rakyat per satuan luas pada periode tahun laporan.

Keterangan tambahan : .

Interpretasi : Produktivitas tanaman kopi di Indonesia Tahun 2013 adalah 7,36 (Ku/Ha) maka rata-rata komoditi tanaman kopi yang diproduksi oleh tiap hektar tanaman kopi adalah sebesar 7,36 kuintal."
368,388,indikator,558,Persentase Komuter,Persentase dari jumlah penduduk berumur 5 tahun ke atas yang berstatus komuter terhadap jumlah penduduk berumur 5 tahun ke atas.,"Mengetahui tingkat mobilitas nonpermanen suatu daerah.
",-,"Persentase yang tinggi menunjukkan tingginya tingkat mobilitas nonpermanen suatu daerah.
","Nama indikator : Persentase Komuter.

Konsep definisi : Persentase dari jumlah penduduk berumur 5 tahun ke atas yang berstatus komuter terhadap jumlah penduduk berumur 5 tahun ke atas.

Manfaat : Mengetahui tingkat mobilitas nonpermanen suatu daerah.
.

Keterangan tambahan : -.

Interpretasi : Persentase yang tinggi menunjukkan tingginya tingkat mobilitas nonpermanen suatu daerah.
."
369,389,indikator,559,Persentase Rumah Tangga Komuter,Persentase dari jumlah rumah tangga yang memiliki setidaknya satu ART komuter terhadap jumlah rumah tangga.,"Mengetahui tingkat mobilitas nonpermanen suatu daerah.
",-,"Persentase yang tinggi menunjukkan tingginya tingkat mobilitas nonpermanen suatu daerah.
","Nama indikator : Persentase Rumah Tangga Komuter.

Konsep definisi : Persentase dari jumlah rumah tangga yang memiliki setidaknya satu ART komuter terhadap jumlah rumah tangga.

Manfaat : Mengetahui tingkat mobilitas nonpermanen suatu daerah.
.

Keterangan tambahan : -.

Interpretasi : Persentase yang tinggi menunjukkan tingginya tingkat mobilitas nonpermanen suatu daerah.
."
370,390,indikator,563,Profit Margin BUMN,"Perbandingan antara laba bersih dengan pendapatan usaha, dalam persen.

",Mengukur kemampuan perusahaan dalam menghasilkan keuntungan dengan cara mengukur persentase dari profit yang diperoleh perusahaan dari tiap penjualan.,-,Semakin tinggi profit margin maka kemampuan perusahaan dalam memperoleh laba per rupiah penjualan semakin baik.,"Nama indikator : Profit Margin BUMN.

Konsep definisi : Perbandingan antara laba bersih dengan pendapatan usaha, dalam persen.

.

Manfaat : Mengukur kemampuan perusahaan dalam menghasilkan keuntungan dengan cara mengukur persentase dari profit yang diperoleh perusahaan dari tiap penjualan.

Keterangan tambahan : -.

Interpretasi : Semakin tinggi profit margin maka kemampuan perusahaan dalam memperoleh laba per rupiah penjualan semakin baik."
371,391,indikator,565,Angka Partisipasi Kasar (APK),"Perbandingan antara jumlah penduduk yang masih bersekolah di jenjang pendidikan tertentu (tanpa memandang usia penduduk tersebut) dengan jumlah penduduk yang memenuhi syarat resmi penduduk usia sekolah di jenjang pendidikan yang sama. Sejak tahun2007, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.","- Untuk menunjukkan berapa besar umumnya tingkat partisipasi penduduk pada suatu tingkat pendidikan.
- Untuk menunjukkan berapa besar kapasitas sistem pendidikan dapat menampung siswa dari kelompok usia sekolah tertentu.
- Sebagai indikator pelengkap dari indikator Angka Partisipasi Murni (APM), sehingga dapat ditunjukkan besarnya penduduk yang bersekolah pada suatu jenjang namun usianya belum mencukupi atau bahkan melebihi dari usia sekolah yang seharusnya",-,"Nilai APK bisa lebih dari 100 persen karena populasi murid yang bersekolah pada suatu jenjang pendidikan tertentu mencakup anak di luar batas usia sekolah pada jenjang pendidikan tersebut. Penyebabnya adalah adanya pendaftaran siswa usia dini, pendaftaran siswa yang telat bersekolah, atau pengulangan kelas. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya. APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya.
Contoh:
APK SM Kota Banda Aceh Tahun 2013 sebesar 61,32 persen, artinya persentase penduduk berusia 16-18 tahun di Kota Banda Aceh yang bersekolah di tingkat SM sekitar 61 persen.","Nama indikator : Angka Partisipasi Kasar (APK).

Konsep definisi : Perbandingan antara jumlah penduduk yang masih bersekolah di jenjang pendidikan tertentu (tanpa memandang usia penduduk tersebut) dengan jumlah penduduk yang memenuhi syarat resmi penduduk usia sekolah di jenjang pendidikan yang sama. Sejak tahun2007, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.

Manfaat : - Untuk menunjukkan berapa besar umumnya tingkat partisipasi penduduk pada suatu tingkat pendidikan.
- Untuk menunjukkan berapa besar kapasitas sistem pendidikan dapat menampung siswa dari kelompok usia sekolah tertentu.
- Sebagai indikator pelengkap dari indikator Angka Partisipasi Murni (APM), sehingga dapat ditunjukkan besarnya penduduk yang bersekolah pada suatu jenjang namun usianya belum mencukupi atau bahkan melebihi dari usia sekolah yang seharusnya.

Keterangan tambahan : -.

Interpretasi : Nilai APK bisa lebih dari 100 persen karena populasi murid yang bersekolah pada suatu jenjang pendidikan tertentu mencakup anak di luar batas usia sekolah pada jenjang pendidikan tersebut. Penyebabnya adalah adanya pendaftaran siswa usia dini, pendaftaran siswa yang telat bersekolah, atau pengulangan kelas. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya. APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya.
Contoh:
APK SM Kota Banda Aceh Tahun 2013 sebesar 61,32 persen, artinya persentase penduduk berusia 16-18 tahun di Kota Banda Aceh yang bersekolah di tingkat SM sekitar 61 persen."
